بقاداش التامين على تلاثة مياة دولار ؟	TUN
لو سمحت ورني .	DOH
هو ده صحيح ؟ وبعدين ، إيه اللي حيحصل ؟	CAI
تبع لافتة التاكسي .	TUN
عافاك قاد الوضعية ديال المقعد ديالك .	RAB
هاد الضرسا كاضرني .	RAB
كاين بزاف دالأنواع ديال الكلاب ، ياك ؟	RAB
انجم نسال على وقت الخروج من هنا ؟	TUN
برمانونت خفيف ، يعيشك .	TUN
هيدا أكتر شي بحبو . انشالله تنبسط .	BEI
أعطني صفارة .	MSA
رح إرجع .	BEI
لقد فاتتني محطة .	MSA
برشة صغار يقراو في تحضيري باش يدخلوا ل مدارس و جوامع باهية .	TUN
بتاخد شيكات سياحية ؟	BEI
كم سعر تأجير هاتف محمول وباجر ؟	MSA
أما طبق ؟	TUN
يستغرق الأمر حوالي ثلاث ساعات للذهاب إلى المكتب والعودة .	MSA
هل تقبلون شيكات سياحية ؟	MSA
شيانتي ، لو سمحت .	DOH
